Adresse;x;y;Arrondissement
2 PLACE DU COLONEL FABIEN/ESPACE NIEMEYER;48.87795; 2.37105;75019
2 PLACE DU PANTHEON;48.845555; 2.346772;75005
2 PLACE FERDINAND BRUNON;48.832991; 2.326839;75014
2 PLACE GUSTAVE TOUDOUZE;48.879432; 2.33749;75009
2 PLACE HENRI BERGSON;48.875821; 2.321229;75008
2 PLACE MICHEL DEBRE;48.852258; 2.329812;75006
2 QUAI DE LA MEGISSERIE;48.855991; 2.346972;75004
2 ROUTE DE LA FERME/PARKING;48.8209; 2.452035;75012
2 RUE BEAUBOURG;48.860372; 2.353172;75004
2 RUE BEAUREPAIRE;48.868902; 2.363321;75010
2 RUE CONTE;48.865952; 2.356461;75003
2 RUE DE CHALIGNY;48.845195; 2.383608;75012
2 RUE DE CHOISEUL;48.869008; 2.336009;75002
2 RUE DE CHOISEUL (BUREAU MAKING PROD;48.869008; 2.336009;75002
2 RUE DE L'YVETTE;48.852673; 2.267806;75016
2 RUE DE LA PALESTINE;48.875523; 2.389677;75019
2 RUE DE LILLE/INALCO;48.857743; 2.332544;75007
2 RUE DE TURGOT;48.879892; 2.345636;75009
2 RUE DE WASHINGTON;48.87227; 2.301793;75008
2 RUE DES FRANCS BOURGEOIS;48.857551; 2.360897;75004
2 RUE DU CLOITRE NOTRE DAME;48.852751; 2.351975;75004
2 RUE DU COMMANDANT SCHLOESING;48.861902; 2.285225;75016
2 RUE DU GENERAL LAMBERT;48.856158; 2.294797;75007
2 RUE DU PONT NEUF;48.859427; 2.343759;75001
2 RUE DUPUYTREN;48.851804; 2.339687;75006
2 RUE JARENTE;48.85767; 2.33526;75006
2 RUE JASMIN;48.851896; 2.266299;75016
2 RUE LAMBALLE;48.854629; 2.283026;75016
2 RUE MELINGUE;48.874598; 2.386248;75019
2 RUE PANHARD;48.838779; 2.359524;75013
2 RUE PAUL BODIN/CAFE LE PARI'S;48.892518; 2.317307;75017
2 RUE ROYALE (HOTEL DE LA MARINE);48.8763; 2.3183;75008
2 RUE TURGOT;48.879892; 2.345636;75009
2 RUE VIVIENNE;48.866495; 2.33884;75002
2 RUE VULPIAN;48.832466; 2.34671;75013
2/10 AVENUE TRUDAINE;48.881859; 2.345348;75009
2/10 COUR DES PETITES ECURIES;48.872661; 2.352878;75010
2/14 RUE NORVINS;48.886916; 2.340396;75018
2/17 RUE PRINCESSE;48.851968; 2.334584;75006
2/18 RUE DE STEINKERQUE;48.884222; 2.343434;75018
2/20 RUE GUISARDE;48.851837; 2.33441;75006
2/24 RUE SAINT HONORE;48.868172; 2.324131;75008
2/4 IMPASSE LAMIER;48.858004; 2.388745;75011
2/4 RUE DU PASTEUR MARC BOEGNER;48.863101; 2.281289;75016
2/53 RUE RAMUS;48.863254; 2.398048;75020
"2/6 RUE COLLETTE, IMPASSE SAINT OUEN";48.893915; 2.327111;75017
20 AVENUE DE LA DODE BRUNERIE (PARKING);48.836528; 2.256917;75016
20 AVENUE DE NEW YORK;48.862712; 2.293955;75016
20 AVENUE GAMBETTA/CFI;48.867691; 2.400725;75020
20 RUE BECCARIA;48.847817; 2.378941;75012
20 RUE CLAUZEL;48.87927; 2.337952;75009
20 RUE DE CHARONNE;48.852981; 2.3748;75011
20 RUE DE LA FOLIE MERICOURT;48.862406; 2.373802;75011
20 RUE DE LA FORGE ROYALE;48.851772; 2.380745;75011
20 RUE DES FOSSES SAINT BERNARD;48.848523; 2.354701;75005
20 RUE LAFAYETTE;48.873828; 2.336218;75009
20 RUE LAFAYETTE/HOTEL BANKE;48.8718; 2.3399;75009
20 RUE MEDERIC/ECOLE DE CUISINE JEAN DROUANT;48.880748; 2.30374;75017
20 RUE TITON;48.851974; 2.386468;75011
203 RUE DE LOURMEL;48.836672; 2.280919;75015
205 BOULEVARD SERRURIER;48.895129; 2.394148;75019
208 RUE DU FBG SAINT HONORE/CON. C.ST SAENS;48.875315; 2.304697;75008
209 RUE DE BELLEVILLE;48.875516; 2.394263;75019
209 RUE DU FAUBOURG SAINT ANTOINE;48.850526; 2.382924;75011
21 AU 55 RUE GASTON DE CAILLAVET;48.849317; 2.284044;75015
21 BOULEVARD SAINT MARCEL;48.838067; 2.356564;75013
21 RUE DE REUILLY;48.848478; 2.386018;75012
21 RUE DE TANGER;48.885891; 2.368397;75019
21 RUE DU RETRAIT;48.868426; 2.39429;75020
21 RUE GRENETA;48.865101; 2.350845;75002
21/23 RUE DE BELLEVILLE;48.872794; 2.378965;75019
21/33/37 BOULEVARD DE CLICHY;48.883667; 2.333761;75018
21/55 BOULEVARD DE STRASBOURG;48.872852; 2.356006;75010
22 AU 70 RUE SAINT ANDRE DES ARTS;48.85365; 2.33872;75006
22 AVENUE DE LA SIBELLE;48.82549; 2.338066;75014
22 AVENUE DE SUFFREN;48.852803; 2.298596;75007
22 BOULEVARD DES CAPUCINES;48.870051; 2.328558;75009
22 RUE DES BELLES FEUILLES;48.866739; 2.282226;75016
22 RUE DES LILAS;48.879595; 2.396648;75019
